度数311  insert:35.9381  delete:0.031463
度数312  insert:35.8146  delete:0.031684
度数313  insert:35.982  delete:0.029904
度数314  insert:36.0088  delete:0.028852
度数315  insert:35.9997  delete:0.03004
度数316  insert:35.8682  delete:0.027721
度数317  insert:36.8073  delete:0.029243
度数318  insert:35.8627  delete:0.028836
度数319  insert:36.1621  delete:0.029326
度数320  insert:37.0574  delete:0.028998
度数321  insert:36.871  delete:0.028003
度数322  insert:37.4168  delete:0.029157
度数323  insert:37.147  delete:0.02796
度数324  insert:36.3256  delete:0.0277
度数325  insert:36.3467  delete:0.028662
度数326  insert:36.404  delete:0.029861
度数327  insert:36.9166  delete:0.027999
度数328  insert:36.6853  delete:0.028746
度数329  insert:37.5053  delete:0.02625
度数330  insert:37.8284  delete:0.026483
度数331  insert:37.3169  delete:0.028217
度数332  insert:37.1776  delete:0.030293
度数333  insert:37.1941  delete:0.02731
度数334  insert:37.5173  delete:0.026929
度数335  insert:37.6942  delete:0.027798
度数336  insert:37.7946  delete:0.0284
度数337  insert:37.6022  delete:0.027837
度数338  insert:37.7098  delete:0.029606
度数339  insert:37.3057  delete:0.027247
度数340  insert:37.5904  delete:0.027301
度数341  insert:37.8001  delete:0.02859
度数342  insert:38.3382  delete:0.029131
度数343  insert:38.2454  delete:0.027519
度数344  insert:37.861  delete:0.027995
度数345  insert:37.8709  delete:0.026169
度数346  insert:37.881  delete:0.027304
度数347  insert:37.8139  delete:0.027075
度数348  insert:38.0012  delete:0.027024
度数349  insert:38.1091  delete:0.028529
度数350  insert:38.2283  delete:0.027477
度数351  insert:38.0912  delete:0.02754
度数352  insert:39.4611  delete:0.027196
度数353  insert:41.9043  delete:0.024029
度数354  insert:39.5321  delete:0.027419
度数355  insert:38.0317  delete:0.024497
度数356  insert:37.9025  delete:0.024652
度数357  insert:37.3505  delete:0.024323
度数358  insert:38.3028  delete:0.026725
度数359  insert:37.5973  delete:0.022802
度数360  insert:37.1147  delete:0.023607
度数361  insert:36.9528  delete:0.02262
度数362  insert:36.949  delete:0.024659
度数363  insert:36.9717  delete:0.02444
度数364  insert:37.1191  delete:0.024461
度数365  insert:37.1173  delete:0.025232
度数366  insert:37.1611  delete:0.023926
度数367  insert:37.2336  delete:0.024252
度数368  insert:37.6439  delete:0.0259
度数369  insert:37.3845  delete:0.024163
度数370  insert:37.2773  delete:0.02471
度数371  insert:37.3975  delete:0.024477
度数372  insert:37.4122  delete:0.024317
度数373  insert:37.8195  delete:0.022299
度数374  insert:37.5694  delete:0.022389
度数375  insert:37.3962  delete:0.023334
度数376  insert:37.4915  delete:0.022154
度数377  insert:37.576  delete:0.023669
度数378  insert:37.5597  delete:0.023224
度数379  insert:37.5341  delete:0.023075
度数380  insert:37.542  delete:0.023597
度数381  insert:37.6855  delete:0.022717
度数382  insert:37.4512  delete:0.022154
度数383  insert:37.3507  delete:0.023939
度数384  insert:37.4248  delete:0.02411
度数385  insert:37.4832  delete:0.025863
度数386  insert:37.4847  delete:0.025573
度数387  insert:37.5047  delete:0.021661
度数388  insert:37.6803  delete:0.022483
度数389  insert:37.5381  delete:0.022353
度数390  insert:37.7849  delete:0.021764
度数391  insert:38.0721  delete:0.024086
度数392  insert:37.7066  delete:0.022572
度数393  insert:37.9148  delete:0.023627
度数394  insert:37.7479  delete:0.02231
度数395  insert:37.792  delete:0.0224
度数396  insert:37.9235  delete:0.022421
度数397  insert:37.9352  delete:0.022301
度数398  insert:38.5156  delete:0.022397
度数399  insert:37.974  delete:0.022532
度数400  insert:38.2145  delete:0.023935
度数401  insert:38.3913  delete:0.020777
度数402  insert:38.3233  delete:0.021585
度数403  insert:38.1435  delete:0.023104
度数404  insert:38.2964  delete:0.021418
度数405  insert:39.2622  delete:0.019562
度数406  insert:38.2948  delete:0.022083
度数407  insert:38.8327  delete:0.022311
度数408  insert:38.6352  delete:0.021331
度数409  insert:38.7654  delete:0.020748
度数410  insert:38.862  delete:0.021005
度数411  insert:38.747  delete:0.020644
度数412  insert:38.7769  delete:0.020361
度数413  insert:38.6744  delete:0.021707
度数414  insert:38.7132  delete:0.020077
度数415  insert:38.8954  delete:0.020038
度数416  insert:39.2722  delete:0.021504
度数417  insert:38.9779  delete:0.022411
度数418  insert:39.0379  delete:0.01939
度数419  insert:39.0619  delete:0.020131
度数420  insert:39.3665  delete:0.023114
度数421  insert:39.5296  delete:0.018884
度数422  insert:39.2317  delete:0.021284
度数423  insert:39.3058  delete:0.020332
度数424  insert:39.4912  delete:0.02312
度数425  insert:39.3877  delete:0.020458
度数426  insert:39.4376  delete:0.02191
度数427  insert:39.6911  delete:0.020032
度数428  insert:39.6804  delete:0.020619
度数429  insert:39.4009  delete:0.023178
度数430  insert:39.8226  delete:0.019397
度数431  insert:39.7023  delete:0.021142
度数432  insert:39.8664  delete:0.019572
度数433  insert:39.6703  delete:0.018727
度数434  insert:39.8619  delete:0.020385
度数435  insert:40.2057  delete:0.019964
度数436  insert:39.8378  delete:0.019169
度数437  insert:39.901  delete:0.021186
度数438  insert:39.9807  delete:0.018287
度数439  insert:40.0918  delete:0.018289
度数440  insert:40.2038  delete:0.020343
度数441  insert:39.9139  delete:0.018935
度数442  insert:40.118  delete:0.019141
度数443  insert:40.2385  delete:0.019673
度数444  insert:40.1656  delete:0.018428
度数445  insert:40.3536  delete:0.019952
度数446  insert:40.2397  delete:0.018291
度数447  insert:40.6212  delete:0.019395
度数448  insert:40.3754  delete:0.018317
度数449  insert:40.3119  delete:0.019001
度数450  insert:40.5517  delete:0.019828
度数451  insert:40.4148  delete:0.019299
度数452  insert:40.4727  delete:0.018805
度数453  insert:40.7068  delete:0.019388
度数454  insert:40.5595  delete:0.018641
度数455  insert:40.8109  delete:0.017236
度数456  insert:40.8302  delete:0.018075
度数457  insert:40.7686  delete:0.018384
度数458  insert:40.9864  delete:0.019413
度数459  insert:41.0025  delete:0.017557
度数460  insert:40.9597  delete:0.018285
度数461  insert:41.2419  delete:0.020114
度数462  insert:40.8398  delete:0.019398
度数463  insert:41.0496  delete:0.020876
